team,group,win_group,reach_R16,reach_QF,reach_SF,reach_final,champion,advance_group,champion_se,reach_final_se,reach_SF_se,advance_group_se
Argentina,J,0.70965,0.71385,0.5111,0.41115,0.27495,0.18005,0.9816,0.0027169099865472167,0.0031571545535497626,0.0034792648469180957,0.0009503010049452745
Spain,H,0.76985,0.70065,0.48885,0.3832,0.2408,0.15825,0.9921,0.002580764784903886,0.003023370304808857,0.0034377155205164954,0.0006260027955209153
England,L,0.7023,0.76115,0.5341,0.35835,0.23255,0.13665,0.98485,0.00242875253473877,0.0029872269540495242,0.003390687817390448,0.0008637267363003184
France,I,0.5459,0.70995,0.48215,0.2836,0.1758,0.0872,0.94815,0.0019949456132937558,0.00269160138207722,0.003187248343006864,0.0015678261622386576
Portugal,K,0.52635,0.6692,0.3416,0.23325,0.12005,0.0639,0.93645,0.001729404377235122,0.002298238428666617,0.0029903548075437473,0.0017249840216651282
Brazil,C,0.53625,0.64235,0.4558,0.27525,0.14045,0.06325,0.97535,0.0017211832775738906,0.002456865864266912,0.0031582228982451506,0.0010964118181595807
Germany,E,0.59095,0.6605,0.3538,0.1991,0.1002,0.0426,0.98525,0.00142802731066321,0.0021232046533483295,0.0028236429483913155,0.00085242118403991
Belgium,G,0.6705,0.72845,0.51415,0.20985,0.09345,0.0416,0.97,0.0014119036794342594,0.0020581192567487435,0.00287934868937404,0.0012062338081814824
Morocco,C,0.35275,0.5603,0.35465,0.18985,0.09055,0.0384,0.939,0.0013587759197159772,0.002029170982199381,0.0027731478278303157,0.0016923208915569181
Netherlands,F,0.4842,0.4865,0.30885,0.16785,0.08045,0.0332,0.90955,0.0012668417422866994,0.0019232498212660779,0.0026426915966491432,0.00202816169843531
Colombia,K,0.3798,0.56445,0.25115,0.15515,0.0719,0.03305,0.8928,0.001264074711004061,0.0018266142176168454,0.002560063256054428,0.0021875575421003214
Norway,I,0.2847,0.5311,0.25265,0.1131,0.0501,0.01735,0.86495,0.0009232815794761639,0.0015425626405433266,0.0022395132283601275,0.002416728134275761
Japan,F,0.3609,0.41585,0.2394,0.1104,0.04625,0.0171,0.8687,0.000916722149836034,0.0014851083714665404,0.0022159855595197367,0.0023880987207399946
Switzerland,B,0.6287,0.63665,0.37205,0.1285,0.0456,0.01705,0.95905,0.0009154042139951071,0.0014751379596498763,0.002366302495455727,0.0014013047045521548
Ecuador,E,0.2797,0.5145,0.23545,0.1022,0.04395,0.01595,0.92215,0.0008858780248995907,0.0014494550268980408,0.0021419052266615345,0.0018945893684384483
Croatia,L,0.2563,0.4755,0.18875,0.0897,0.0327,0.01115,0.9115,0.000742484932507051,0.0012575911497780192,0.0020205681131800534,0.0020083295297336043
Uruguay,H,0.2047,0.3431,0.1436,0.07645,0.02665,0.00965,0.8981,0.0006912625224905514,0.0011388541939159728,0.0018789012414174408,0.002139116523240377
Mexico,A,0.68305,0.5332,0.1889,0.06375,0.0203,0.00575,0.99155,0.0005346464953593168,0.000997193812656296,0.001727511758281257,0.0006472479239055139
Turkey,D,0.2823,0.4458,0.207,0.05865,0.01865,0.00485,0.78115,0.0004912472646234277,0.0009566132316668006,0.0016614779189023246,0.0029236507785643617
Austria,J,0.1504,0.2769,0.1171,0.0462,0.01445,0.0047,0.7759,0.00048362743925463953,0.000843836402983422,0.001484344299682523,0.0029485521023037728
